county,population
"Carroll,IA",20567
"Cass,IA",13104
"Cedar,IA",18399
"Cerro Gordo,IA",42409
"Cherokee,IA",11491
"Chickasaw,IA",11716
"Clarke,IA",9692
"Clay,IA",16475
"Clayton,IA",17027
"Clinton,IA",46344
"Crawford,IA",16123
"Dallas,IA",108016
"Davis,IA",9130
"Decatur,IA",7683
"Delaware,IA",17568
"Des Moines,IA",38293
"Dickinson,IA",18028
"Dubuque,IA",98677
"Emmet,IA",9176
"Fayette,IA",19294
"Floyd,IA",15337
"Franklin,IA",9916
"Fremont,IA",6464
"Greene,IA",8741
"Grundy,IA",12356
"Guthrie,IA",10647
"Hamilton,IA",14820
"Hancock,IA",10685
"Hardin,IA",16567
"Harrison,IA",14658
"Henry,IA",20196
"Howard,IA",9533
"Humboldt,IA",9572
"Ida,IA",6888
"Iowa,IA",16475
"Jackson,IA",19324
"Jasper,IA",37938
"Jefferson,IA",15698
"Johnson,IA",156420
"Jones,IA",20848
"Keokuk,IA",9904
"Kossuth,IA",14475
"Lee,IA",32840
"Linn,IA",229033
"Louisa,IA",10677
"Lucas,IA",8689
"Lyon,IA",12179
"Madison,IA",17036
"Mahaska,IA",21946
"Marion,IA",33642
"Marshall,IA",39879
"Mills,IA",14553
"Mitchell,IA",10532
"Monona,IA",8486
"Monroe,IA",7550
"Montgomery,IA",10205
"Muscatine,IA",42377
"O'Brien,IA",14060
"Osceola,IA",6036
"Page,IA",15143
"Palo Alto,IA",8764
"Plymouth,IA",25681
"Pocahontas,IA",7053
"Polk,IA",501089
"Pottawattamie,IA",93173
"Poweshiek,IA",18467
"Ringgold,IA",4670
"Sac,IA",9673
"Scott,IA",173924
"Shelby,IA",11645
"Sioux,IA",36050
"Story,IA",99673
"Tama,IA",16903
"Taylor,IA",5858
"Union,IA",11887
"Van Buren,IA",7256
"Wapello,IA",35043
"Warren,IA",54327
"Washington,IA",22571
"Wayne,IA",6467
"Webster,IA",36626
"Winnebago,IA",10617
"Winneshiek,IA",19974
"Woodbury,IA",105671
"Worth,IA",7319
"Wright,IA",12681
"Allen,KS",12579
"Anderson,KS",7776
"Atchison,KS",16108
"Barber,KS",4122
"Barton,KS",25080
"Bourbon,KS",14493
"Brown,KS",9364
"Butler,KS",68240
"Chase,KS",2548
"Chautauqua,KS",3415
"Cherokee,KS",19088
"Cheyenne,KS",2583
"Clark,KS",1933
"Clay,KS",8043
"Cloud,KS",8946
"Coffey,KS",8280
"Comanche,KS",1681
"Cowley,KS",34453
"Crawford,KS",39078
"Decatur,KS",2689
"Dickinson,KS",18430
"Doniphan,KS",7440
"Douglas,KS",119964
"Edwards,KS",2739
"Elk,KS",2441
"Ellis,KS",28941
"Ellsworth,KS",6355
"Finney,KS",37650
"Ford,KS",33848
"Franklin,KS",25992
"Geary,KS",35691
"Gove,KS",2717
"Graham,KS",2411
"Grant,KS",7197
"Gray,KS",5729
"Greeley,KS",1223
"Greenwood,KS",5939
"Hamilton,KS",2430
"Harper,KS",5323
"Harvey,KS",33801
"Haskell,KS",3576
"Hodgeman,KS",1755
"Jackson,KS",13286
"Jefferson,KS",18344
"Jewell,KS",2898
"Johnson,KS",619195
"Kearny,KS",3855
"Kingman,KS",7193
"Kiowa,KS",2404
"Labette,KS",19757
"Lane,KS",1556
"Leavenworth,KS",82892
"Lincoln,KS",2899
"Linn,KS",9796
"Logan,KS",2705
"Lyon,KS",31898
"McPherson,KS",30012
"Marion,KS",11868
"Marshall,KS",9982
"Meade,KS",3897
"Miami,KS",34867
"Mitchell,KS",5738
"Montgomery,KS",30996
"Morris,KS",5349
"Morton,KS",2599
"Nemaha,KS",10115
"Neosho,KS",15606
"Ness,KS",2645
"Norton,KS",5301
"Osage,KS",15654
"Osborne,KS",3490
"Ottawa,KS",5795
"Pawnee,KS",6179
"Phillips,KS",4809
"Pottawatomie,KS",26273
"Pratt,KS",9067
"Rawlins,KS",2528
"Reno,KS",61516
"Republic,KS",4642
"Rice,KS",9407
"Riley,KS",71108
"Rooks,KS",4813
"Rush,KS",2927
"Russell,KS",6639
"Saline,KS",53596
"Scott,KS",5014
"Sedgwick,KS",525525
"Seward,KS",21358
"Shawnee,KS",177480
"Sheridan,KS",2425
"Sherman,KS",5830
"Smith,KS",3533
"Stafford,KS",3993
"Stanton,KS",1963
"Stevens,KS",5175
"Sumner,KS",22473
"Thomas,KS",7893
"Trego,KS",2752
"Wabaunsee,KS",7019
"Wallace,KS",1488
"Washington,KS",5501
"Wichita,KS",2064
"Wilson,KS",8622
"Woodson,KS",3109
"Wyandotte,KS",165746
"Adair,KY",19067
"Allen,KY",21275
"Anderson,KY",24224
"Ballard,KY",7650
"Barren,KY",44854
"Bath,KY",12829
"Bell,KY",23568
"Boone,KY",139093
"Bourbon,KY",20093
"Boyd,KY",48110
"Boyle,KY",30904
"Bracken,KY",8452
"Breathitt,KY",13351
"Breckinridge,KY",20943
"Bullitt,KY",83836
"Butler,KY",12295
"Caldwell,KY",12570
